id_produit,nom_produit,categorie,prix_unitaire
1,service,grave,644.17
2,ramener,quarante,3263.43
3,servir,depuis,3508.26
4,tellement,maître,21.24
5,gauche,minute,1098.62
6,cinquante,déjà,216.16
7,cent,plus,3202.44
8,moitié,phrase,1869.76
9,écraser,toi,755.7
10,général,immobile,3643.95
11,ou,nombreux,786.18
12,convenir,tout,1542.81
13,réunir,bon,2195.89
14,seigneur,cher,1023.88
15,chemin,cerveau,4549.42
16,arriver,offrir,1661.59
17,quitter,gauche,2004.37
18,lequel,toi,4611.6
19,rocher,vieux,4960.82
20,muet,direction,406.91
21,plan,payer,4694.46
22,genre,tromper,3085.09
23,sens,durer,181.84
24,absence,inquiétude,267.93
25,savoir,succès,3878.51
26,serrer,bande,3477.24
27,exiger,devoir,3190.75
28,malade,fait,4129.12
29,toucher,titre,705.45
30,leur,entrer,2051.14
31,condamner,problème,54.3
32,but,danger,1636.03
33,devant,prix,3747.27
34,avancer,faute,1779.81
35,mériter,parti,2692.86
36,trop,occuper,1219.01
37,rideau,en,4062.12
38,exposer,chemin,4086.01
39,général,cours,4371.76
40,changement,loup,2798.17
41,résoudre,regarder,4863.9
42,expliquer,autour,1310.58
43,troisième,instant,321.4
44,considérer,société,2213.91
45,doute,en,3283.07
46,paysan,voisin,786.8
47,servir,confier,235.0
48,chez,étudier,1215.02
49,empire,chance,3723.67
50,écrire,éloigner,2604.54
51,heure,poste,1106.31
52,visible,autrefois,1861.6
53,théâtre,chaise,165.34
54,désert,naturel,4634.08
55,aile,éloigner,3132.99
56,espace,mer,2443.01
57,lutte,contenir,3638.37
58,tendre,raison,1721.24
59,siècle,droit,4871.4
60,calme,nul,1375.66
61,ancien,gouvernement,4410.22
62,perdre,ouvrir,3034.42
63,naturel,nommer,4810.67
64,ramener,froid,500.98
65,militaire,cabinet,2299.99
66,puis,sérieux,357.4
67,quelque,gros,935.77
68,intelligence,porte,4710.28
69,agent,route,312.75
70,appartenir,danser,1069.21
71,important,blanc,1631.89
72,soutenir,trouver,236.79
73,créer,chaîne,2160.95
74,fort,pousser,4150.84
75,sommet,droite,4556.81
76,installer,fleur,3304.59
77,coûter,côte,1033.74
78,juste,respecter,3322.29
79,prince,naître,4623.36
80,pourquoi,dur,2251.94
81,parler,vin,2898.06
82,enfin,exprimer,2107.86
83,répéter,toute,2350.14
84,besoin,cercle,3439.39
85,paysan,hauteur,2489.94
86,intelligence,passé,4445.34
87,ferme,habiter,2738.83
88,toucher,compter,2753.32
89,emmener,près,3065.31
90,baisser,reculer,486.73
91,figure,tempête,4662.7
92,général,étranger,3914.2
93,larme,ordre,3641.53
94,décrire,remercier,2716.39
95,exprimer,hésiter,4200.38
96,coucher,frais,2534.14
97,bête,occuper,2838.63
98,pousser,durer,3782.68
99,exiger,commander,882.3
100,fortune,minute,1470.05
101,afin de,compagnon,533.45
102,sur,défendre,761.62
103,personnage,caresser,3686.38
104,frapper,asseoir,601.12
105,condition,éclater,3560.56
106,planche,revoir,3795.52
107,toile,robe,659.92
108,notre,sein,52.34
109,allumer,avec,2188.02
110,papier,erreur,4836.14
111,réussir,complet,2146.37
112,fort,suivant,4083.27
113,loi,angoisse,3766.71
114,nourrir,bas,3724.39
115,montagne,baisser,621.39
116,salut,menacer,3935.91
117,grâce,soleil,1158.49
118,ne,fer,4997.16
119,ouvrir,précieux,3692.89
120,lever,lune,2723.77
121,religion,accompagner,3209.35
122,traverser,tour,4631.25
123,sentir,hauteur,999.46
124,vif,prison,515.23
125,prévoir,etc,3357.05
126,jouer,réclamer,2556.29
127,respecter,aussitôt,625.03
128,acte,vif,409.69
129,se,seul,1660.21
130,bonheur,état,2986.94
131,visible,détacher,802.55
132,rencontre,juste,4309.19
133,animal,sous,4897.36
134,inviter,important,2448.73
135,rouge,malgré,1639.02
136,vers,flamme,3127.13
137,grâce,droite,3588.19
138,dur,intérêt,961.89
139,science,secours,3390.03
140,affirmer,juger,1889.94
141,cuisine,éternel,678.67
142,présenter,faire,968.71
143,saluer,masse,4000.4
144,cour,frère,3808.12
145,vol,souffrance,2938.45
146,lutte,cent,4503.8
147,lit,profiter,268.82
148,chien,retenir,2024.24
149,chez,verser,2926.59
150,simplement,lui,4555.22
151,face,discours,4974.18
152,bois,lueur,3661.15
153,avec,riche,3033.33
154,propre,traîner,1110.02
155,dix,serrer,3109.05
156,masse,cours,1759.09
157,envie,calme,504.55
158,douter,malade,2212.27
159,arbre,école,3918.54
160,exister,toit,3141.97
161,tirer,vide,520.54
162,jamais,fleur,1751.3
163,nu,saluer,4735.12
164,pousser,hier,2734.96
165,respecter,second,2627.0
166,malgré,payer,3486.44
167,musique,car,1465.63
168,que,précéder,4639.22
169,désormais,bande,4967.09
170,rappeler,voix,2777.61
171,sembler,fortune,4820.99
172,que,séparer,4216.33
173,arriver,spectacle,1500.29
174,carte,surprendre,4553.58
175,après,énergie,3014.02
176,vrai,ton,2628.24
177,un,passé,1793.5
178,après,rejoindre,2318.82
179,accepter,depuis,971.95
180,éteindre,discours,1759.82
181,vouloir,pauvre,4807.6
182,jeu,cou,2393.49
183,amour,fidèle,955.58
184,chef,queue,2526.15
185,accompagner,prouver,2871.23
186,vivant,aile,3630.66
187,un,mon,3042.88
188,crainte,admettre,3579.56
189,fatigue,mur,517.06
190,ministre,fait,3390.22
191,blanc,mieux,2984.47
192,bataille,essayer,3161.01
193,cuisine,après,4011.69
194,travers,nuage,357.45
195,baisser,long,1205.36
196,égal,feu,4486.57
197,mais,prier,192.15
198,cheveu,ramasser,4963.72
199,habitant,cinq,887.1
200,pourquoi,réveiller,2793.39
